"Kod";"Nazwa";"ludność na 1 km2;2021;[osoba]";
0609014;"Bełżyce - miasto (4)";268;
0609015;"Bełżyce - obszar wiejski (5)";61;
0609022;"Borzechów (2)";55;
0609033;"Bychawa (3)";78;
0609034;"Bychawa - miasto (4)";711;
0609035;"Bychawa - obszar wiejski (5)";48;
0609042;"Garbów (2)";88;
0609052;"Głusk (2)";194;
0609062;"Jabłonna (2)";61;
0609072;"Jastków (2)";128;
0609082;"Konopnica (2)";155;
0609092;"Krzczonów (2)";33;
0609102;"Niedrzwica Duża (2)";112;
0609112;"Niemce (2)";144;
0609122;"Strzyżewice (2)";75;
0609132;"Wojciechów (2)";74;
0609142;"Wólka (2)";178;
0609152;"Wysokie (2)";38;
0609162;"Zakrzew (2)";37;
0610000;"Powiat łęczyński";89;
0610012;"Cyców (2)";53;
0610022;"Ludwin (2)";46;
0610033;"Łęczna (3)";305;
0610034;"Łęczna - miasto (4)";968;
0610035;"Łęczna - obszar wiejski (5)";80;
0610042;"Milejów (2)";77;
0610052;"Puchaczów (2)";62;
0610062;"Spiczyn (2)";70;
0611000;"Powiat łukowski";76;
0611011;"Łuków (1)";816;
0611021;"Stoczek Łukowski (1)";267;
0611032;"Adamów (2)";56;
0611042;"Krzywda (2)";64;
0611052;"Łuków (2)";60;
0611062;"Serokomla (2)";50;
0611072;"Stanin (2)";60;
0611082;"Stoczek Łukowski (2)";44;
0611092;"Trzebieszów (2)";52;
0611102;"Wojcieszków (2)";62;
0611112;"Wola Mysłowska (2)";37;
0612000;"Powiat opolski";72;
0612012;"Chodel (2)";60;
0612023;"Józefów nad Wisłą (3)";45;
0612024;"Józefów nad Wisłą - miasto (4)";243;
0612025;"Józefów nad Wisłą - obszar wiejski (5)";40;
0612032;"Karczmiska (2)";57;
0612042;"Łaziska (2)";44;
0612053;"Opole Lubelskie (3)";87;
0612054;"Opole Lubelskie - miasto (4)";545;
0612055;"Opole Lubelskie - obszar wiejski (5)";48;
0612063;"Poniatowa (3)";164;
0612064;"Poniatowa - miasto (4)";580;
0612065;"Poniatowa - obszar wiejski (5)";72;
0612072;"Wilków (2)";55;
0613000;"Powiat parczewski";36;
0613012;"Dębowa Kłoda (2)";20;
0613022;"Jabłoń (2)";34;
0613032;"Milanów (2)";31;
0613043;"Parczew (3)";96;
0613044;"Parczew - miasto (4)";1291;
0613045;"Parczew - obszar wiejski (5)";27;
0613052;"Podedwórze (2)";14;
0613062;"Siemień (2)";40;
0613072;"Sosnowica (2)";15;
0614000;"Powiat puławski";119;
0614011;"Puławy (1)";917;
0614022;"Baranów (2)";45;
0614032;"Janowiec (2)";46;
0614043;"Kazimierz Dolny (3)";90;
0614044;"Kazimierz Dolny - miasto (4)";83;
0614045;"Kazimierz Dolny - obszar wiejski (5)";96;
0614052;"Końskowola (2)";96;
0614062;"Kurów (2)";75;
0614072;"Markuszów (2)";72;
0614083;"Nałęczów (3)";140;
0614084;"Nałęczów - miasto (4)";268;
0614085;"Nałęczów - obszar wiejski (5)";104;
0614092;"Puławy (2)";75;
0614102;"Wąwolnica (2)";72;
0614112;"Żyrzyn (2)";49;
0615000;"Powiat radzyński";60;
0615011;"Radzyń Podlaski (1)";786;
0615022;"Borki (2)";53;
0615032;"Czemierniki (2)";39;
0615042;"Kąkolewnica (2)";53;
0615052;"Komarówka Podlaska (2)";29;
0615062;"Radzyń Podlaski (2)";52;
0615072;"Ulan-Majorat (2)";55;
0615082;"Wohyń (2)";36;
0616000;"Powiat rycki";89;
0616011;"Dęblin (1)";405;
0616022;"Kłoczew (2)";49;
0616032;"Nowodwór (2)";56;
0616043;"Ryki (3)";124;
0616044;"Ryki - miasto (4)";349;
0616045;"Ryki - obszar wiejski (5)";79;
0616052;"Stężyca (2)";43;
0616062;"Ułęż (2)";37;
0617000;"Powiat świdnicki";151;
0617011;"Świdnik (1)";1876;
0617022;"Mełgiew (2)";107;
0617033;"Piaski (3)";62;
0617034;"Piaski - miasto (4)";297;
0617035;"Piaski - obszar wiejski (5)";49;
0617042;"Rybczewice (2)";33;
0617052;"Trawniki (2)";103;
0618000;"Powiat tomaszowski";54;
0618011;"Tomaszów Lubelski (1)";1384;
0618022;"Bełżec (2)";98;
0618032;"Jarczów (2)";31;
0618042;"Krynice (2)";43;
0618053;"Lubycza Królewska (3)";29;
0618054;"Lubycza Królewska - miasto (4)";614;
0618055;"Lubycza Królewska - obszar wiejski (5)";18;
0618063;"Łaszczów (3)";46;
0618064;"Łaszczów - miasto (4)";414;
0618065;"Łaszczów - obszar wiejski (5)";31;
0618072;"Rachanie (2)";52;
0618082;"Susiec (2)";38;
0618092;"Tarnawatka (2)";47;
0618102;"Telatyn (2)";34;
0618112;"Tomaszów Lubelski (2)";66;
0618123;"Tyszowce (3)";42;
0618124;"Tyszowce - miasto (4)";107;
0618125;"Tyszowce - obszar wiejski (5)";30;
0618132;"Ulhówek (2)";30;
0619000;"Powiat włodawski";30;
0619011;"Włodawa (1)";709;
0619022;"Hanna (2)";20;
0619032;"Hańsk (2)";21;
0619042;"Stary Brus (2)";15;
0619052;"Urszulin (2)";24;
0619062;"Włodawa (2)";24;
0619072;"Wola Uhruska (2)";24;
0619082;"Wyryki (2)";11;
0620000;"Powiat zamojski";56;
0620012;"Adamów (2)";41;
0620022;"Grabowiec (2)";29;
0620032;"Komarów-Osada (2)";39;
0620043;"Krasnobród (3)";55;
0620044;"Krasnobród - miasto (4)";439;
0620045;"Krasnobród - obszar wiejski (5)";32;
0620052;"Łabunie (2)";70;
0620062;"Miączyn (2)";36;
0620072;"Nielisz (2)";47;
0620082;"Radecznica (2)";50;
0620092;"Sitno (2)";60;
0620102;"Skierbieszów (2)";36;
0620112;"Stary Zamość (2)";52;
0620122;"Sułów (2)";46;
0620133;"Szczebrzeszyn (3)";89;
0620134;"Szczebrzeszyn - miasto (4)";169;
0620135;"Szczebrzeszyn - obszar wiejski (5)";64;
0620142;"Zamość (2)";119;
0620153;"Zwierzyniec (3)";42;
0620154;"Zwierzyniec - miasto (4)";492;
0620155;"Zwierzyniec - obszar wiejski (5)";23;
0661000;"Powiat m.Biała Podlaska";1144;
0661011;"Biała Podlaska (1)";1144;
0662000;"Powiat m.Chełm";1707;
0662011;"Chełm (1)";1707;
0663000;"Powiat m.Lublin";2281;
0663011;"Lublin (1)";2281;
0664000;"Powiat m.Zamość";2044;
0664011;"Zamość (1)";2044;
0800000;"LUBUSKIE";71;
0801000;"Powiat gorzowski";60;
0801011;"Kostrzyn nad Odrą (1)";383;
0801022;"Bogdaniec (2)";64;
0801032;"Deszczno (2)";61;
0801042;"Kłodawa (2)";38;
0801052;"Lubiszyn (2)";34;
0801062;"Santok (2)";53;
0801073;"Witnica (3)";45;
0801074;"Witnica - miasto (4)";803;
0801075;"Witnica - obszar wiejski (5)";22;
0802000;"Powiat krośnieński";39;
0802011;"Gubin (1)";789;
0802022;"Bobrowice (2)";17;
0802032;"Bytnica (2)";12;
0802042;"Dąbie (2)";28;
0802052;"Gubin (2)";19;
0802063;"Krosno Odrzańskie (3)";82;
0802064;"Krosno Odrzańskie - miasto (4)";1355;
0802065;"Krosno Odrzańskie - obszar wiejski (5)";31;
0802072;"Maszewo (2)";13;
0803000;"Powiat międzyrzecki";41;
0803012;"Bledzew (2)";17;
0803023;"Międzyrzecz (3)";78;
0803024;"Międzyrzecz - miasto (4)";1702;
0803025;"Międzyrzecz - obszar wiejski (5)";23;
0803032;"Przytoczna (2)";30;
0803042;"Pszczew (2)";24;
0803053;"Skwierzyna (3)";41;
0803054;"Skwierzyna - miasto (4)";261;
0803055;"Skwierzyna - obszar wiejski (5)";10;
0803063;"Trzciel (3)";35;
0803064;"Trzciel - miasto (4)";756;
0803065;"Trzciel - obszar wiejski (5)";23;
0804000;"Powiat nowosolski";110;
0804011;"Nowa Sól (1)";1734;
0804023;"Bytom Odrzański (3)";102;
0804024;"Bytom Odrzański - miasto (4)";1822;
0804025;"Bytom Odrzański - obszar wiejski (5)";23;
0804032;"Kolsko (2)";41;
0804043;"Kożuchów (3)";88;
0804044;"Kożuchów - miasto (4)";1551;
0804045;"Kożuchów - obszar wiejski (5)";38;
0804052;"Nowa Sól (2)";40;
0804063;"Nowe Miasteczko (3)";68;
0804064;"Nowe Miasteczko - miasto (4)";811;
0804065;"Nowe Miasteczko - obszar wiejski (5)";35;
0804073;"Otyń (3)";78;
0804074;"Otyń - miasto (4)";215;
0804075;"Otyń - obszar wiejski (5)";65;
0804082;"Siedlisko (2)";38;
0805000;"Powiat słubicki";47;
0805013;"Cybinka (3)";23;
0805014;"Cybinka - miasto (4)";511;
0805015;"Cybinka - obszar wiejski (5)";13;
0805022;"Górzyca (2)";29;
0805033;"Ośno Lubuskie (3)";32;
0805034;"Ośno Lubuskie - miasto (4)";489;
0805035;"Ośno Lubuskie - obszar wiejski (5)";13;
0805043;"Rzepin (3)";50;
0805044;"Rzepin - miasto (4)";563;
0805045;"Rzepin - obszar wiejski (5)";18;
0805053;"Słubice (3)";108;
0805054;"Słubice - miasto (4)";857;
0805055;"Słubice - obszar wiejski (5)";22;
0806000;"Powiat strzelecko-drezdenecki";39;
0806013;"Dobiegniew (3)";18;
0806014;"Dobiegniew - miasto (4)";528;
0806015;"Dobiegniew - obszar wiejski (5)";10;
0806023;"Drezdenko (3)";42;
0806024;"Drezdenko - miasto (4)";915;
0806025;"Drezdenko - obszar wiejski (5)";18;
0806032;"Stare Kurowo (2)";52;
0806043;"Strzelce Krajeńskie (3)";52;
0806044;"Strzelce Krajeńskie - miasto (4)";1760;
0806045;"Strzelce Krajeńskie - obszar wiejski (5)";22;
0806052;"Zwierzyn (2)";43;
0807000;"Powiat sulęciński";29;
0807012;"Krzeszyce (2)";24;
0807023;"Lubniewice (3)";24;
0807024;"Lubniewice - miasto (4)";170;
0807025;"Lubniewice - obszar wiejski (5)";9;
0807032;"Słońsk (2)";30;
0807043;"Sulęcin (3)";48;
0807044;"Sulęcin - miasto (4)";1151;
0807045;"Sulęcin - obszar wiejski (5)";18;
0807053;"Torzym (3)";18;
0807054;"Torzym - miasto (4)";274;
0807055;"Torzym - obszar wiejski (5)";11;
0808000;"Powiat świebodziński";59;
0808012;"Lubrza (2)";30;
0808022;"Łagów (2)";24;
0808032;"Skąpe (2)";28;
0808042;"Szczaniec (2)";34;
0808053;"Świebodzin (3)";131;
0808054;"Świebodzin - miasto (4)";1261;
0808055;"Świebodzin - obszar wiejski (5)";39;
0808063;"Zbąszynek (3)";88;
0808064;"Zbąszynek - miasto (4)";1395;
0808065;"Zbąszynek - obszar wiejski (5)";36;
0809000;"Powiat zielonogórski";56;
0809013;"Babimost (3)";66;
0809014;"Babimost - miasto (4)";1054;
0809015;"Babimost - obszar wiejski (5)";26;
0809022;"Bojadła (2)";32;
0809033;"Czerwieńsk (3)";52;
0809034;"Czerwieńsk - miasto (4)";417;
0809035;"Czerwieńsk - obszar wiejski (5)";33;
0809043;"Kargowa (3)";45;
0809044;"Kargowa - miasto (4)";823;
0809045;"Kargowa - obszar wiejski (5)";16;
0809053;"Nowogród Bobrzański (3)";36;
0809054;"Nowogród Bobrzański - miasto (4)";344;
0809055;"Nowogród Bobrzański - obszar wiejski (5)";17;
0809063;"Sulechów (3)";112;
0809064;"Sulechów - miasto (4)";2378;
0809065;"Sulechów - obszar wiejski (5)";44;
0809072;"Świdnica (2)";41;
0809082;"Trzebiechów (2)";41;
0809092;"Zabór (2)";48;
0810000;"Powiat żagański";68;
0810011;"Gozdnica (1)";122;
0810021;"Żagań (1)";617;
0810032;"Brzeźnica (2)";30;
0810043;"Iłowa (3)";44;
0810044;"Iłowa - miasto (4)";414;
0810045;"Iłowa - obszar wiejski (5)";20;
0810053;"Małomice (3)";64;
0810054;"Małomice - miasto (4)";514;
0810055;"Małomice - obszar wiejski (5)";23;
0810062;"Niegosławice (2)";32;
0810073;"Szprotawa (3)";86;
0810074;"Szprotawa - miasto (4)";1038;
0810075;"Szprotawa - obszar wiejski (5)";39;
0810082;"Wymiarki (2)";35;
0810092;"Żagań (2)";26;
0811000;"Powiat żarski";68;
0811011;"Łęknica (1)";144;
0811021;"Żary (1)";1092;
0811032;"Brody (2)";14;
0811043;"Jasień (3)";54;
0811044;"Jasień - miasto (4)";868;
0811045;"Jasień - obszar wiejski (5)";22;
0811052;"Lipinki Łużyckie (2)";38;
0811063;"Lubsko (3)";99;
0811064;"Lubsko - miasto (4)";1083;
0811065;"Lubsko - obszar wiejski (5)";27;
0811072;"Przewóz (2)";17;
0811082;"Trzebiel (2)";34;
0811092;"Tuplice (2)";46;
0811102;"Żary (2)";42;
0812000;"Powiat wschowski";61;
0812013;"Sława (3)";38;
0812014;"Sława - miasto (4)";284;
0812015;"Sława - obszar wiejski (5)";27;
0812023;"Szlichtyngowa (3)";50;
0812024;"Szlichtyngowa - miasto (4)";812;
0812025;"Szlichtyngowa - obszar wiejski (5)";38;
0812033;"Wschowa (3)";105;
0812034;"Wschowa - miasto (4)";1461;
0812035;"Wschowa - obszar wiejski (5)";39;
0861000;"Powiat m.Gorzów Wielkopolski";1401;
0861011;"Gorzów Wielkopolski (1)";1401;
0862000;"Powiat m.Zielona Góra";505;
0862011;"Zielona Góra (1)";505;
1000000;"ŁÓDZKIE";133;
1001000;"Powiat bełchatowski";116;
1001011;"Bełchatów (1)";1605;
1001022;"Bełchatów (2)";67;
1001032;"Drużbice (2)";46;
1001042;"Kleszczów (2)";52;
1001052;"Kluki (2)";37;
1001062;"Rusiec (2)";50;
1001072;"Szczerców (2)";63;
1001083;"Zelów (3)";89;
1001084;"Zelów - miasto (4)";684;
1001085;"Zelów - obszar wiejski (5)";48;
1002000;"Powiat kutnowski";106;
1002011;"Kutno (1)";1271;
1002022;"Bedlno (2)";41;
1002032;"Dąbrowice (2)";41;
1002043;"Krośniewice (3)";86;
1002044;"Krośniewice - miasto (4)";1007;
1002045;"Krośniewice - obszar wiejski (5)";43;
1002052;"Krzyżanów (2)";41;
1002062;"Kutno (2)";72;
1002072;"Łanięta (2)";44;
1002082;"Nowe Ostrowy (2)";47;
1002092;"Oporów (2)";36;
1002102;"Strzelce (2)";43;
1002113;"Żychlin (3)";150;
1002114;"Żychlin - miasto (4)";906;
1002115;"Żychlin - obszar wiejski (5)";53;
1003000;"Powiat łaski";80;
1003012;"Buczek (2)";55;
1003023;"Łask (3)";188;
1003024;"Łask - miasto (4)";1065;
1003025;"Łask - obszar wiejski (5)";83;
1003032;"Sędziejowice (2)";53;
1003042;"Widawa (2)";40;
1003052;"Wodzierady (2)";43;
1004000;"Powiat łęczycki";63;
1004011;"Łęczyca (1)";1518;
1004022;"Daszyna (2)";46;
1004032;"Góra Świętej Małgorzaty (2)";48;
1004042;"Grabów (2)";37;
1004052;"Łęczyca (2)";56;
1004063;"Piątek (3)";44;
1004064;"Piątek - miasto (4)";315;
1004065;"Piątek - obszar wiejski (5)";33;
1004072;"Świnice Warckie (2)";41;
1004082;"Witonia (2)";53;
1005000;"Powiat łowicki";78;
1005011;"Łowicz (1)";1171;
1005022;"Bielawy (2)";32;
1005032;"Chąśno (2)";40;
1005042;"Domaniewice (2)";54;
1005052;"Kiernozia (2)";43;
1005062;"Kocierzew Południowy (2)";44;
1005072;"Łowicz (2)";58;
1005082;"Łyszkowice (2)";61;
1005092;"Nieborów (2)";90;
1005102;"Zduny (2)";44;
1006000;"Powiat łódzki wschodni";146;
1006022;"Andrespol (2)";561;
1006032;"Brójce (2)";99;
1006073;"Koluszki (3)";150;
1006074;"Koluszki - miasto (4)";1282;
1006075;"Koluszki - obszar wiejski (5)";73;
1006082;"Nowosolna (2)";97;
1006103;"Rzgów (3)";161;
1006104;"Rzgów - miasto (4)";201;
1006105;"Rzgów - obszar wiejski (5)";148;
1006113;"Tuszyn (3)";96;
1006114;"Tuszyn - miasto (4)";309;
1006115;"Tuszyn - obszar wiejski (5)";49;
1007000;"Powiat opoczyński";72;
1007012;"Białaczów (2)";50;
1007023;"Drzewica (3)";87;
1007024;"Drzewica - miasto (4)";785;
1007025;"Drzewica - obszar wiejski (5)";58;
1007032;"Mniszków (2)";38;
1007043;"Opoczno (3)";175;
1007044;"Opoczno - miasto (4)";756;
1007045;"Opoczno - obszar wiejski (5)";79;
1007052;"Paradyż (2)";53;
1007062;"Poświętne (2)";22;
1007072;"Sławno (2)";59;
1007082;"Żarnów (2)";41;
1008000;"Powiat pabianicki";241;
1008011;"Konstantynów Łódzki (1)";680;
1008021;"Pabianice (1)";1910;
1008032;"Dłutów (2)";47;
1008042;"Dobroń (2)";82;
1008052;"Ksawerów (2)";558;
1008062;"Lutomiersk (2)";66;
1008072;"Pabianice (2)";91;
1009000;"Powiat pajęczański";63;
1009013;"Działoszyn (3)";101;
1009014;"Działoszyn - miasto (4)";1139;
1009015;"Działoszyn - obszar wiejski (5)";56;
1009022;"Kiełczygłów (2)";45;
1009032;"Nowa Brzeźnica (2)";33;
1009043;"Pajęczno (3)";100;
1009044;"Pajęczno - miasto (4)";323;
1009045;"Pajęczno - obszar wiejski (5)";51;
1009052;"Rząśnia (2)";57;
1009062;"Siemkowice (2)";47;
1009072;"Strzelce Wielkie (2)";58;
1009082;"Sulmierzyce (2)";53;
1010000;"Powiat piotrkowski";64;
1010012;"Aleksandrów (2)";29;
1010022;"Czarnocin (2)";57;
1010032;"Gorzkowice (2)";82;
1010042;"Grabica (2)";48;
1010052;"Łęki Szlacheckie (2)";31;
1010062;"Moszczenica (2)";115;
1010072;"Ręczno (2)";39;
1010082;"Rozprza (2)";75;
1010093;"Sulejów (3)";86;
1010094;"Sulejów - miasto (4)";231;
1010095;"Sulejów - obszar wiejski (5)";63;
1010102;"Wola Krzysztoporska (2)";70;
1010113;"Wolbórz (3)";52;
1010114;"Wolbórz - miasto (4)";151;
1010115;"Wolbórz - obszar wiejski (5)";41;
1011000;"Powiat poddębicki";46;
1011012;"Dalików (2)";34;
1011022;"Pęczniew (2)";27;
1011033;"Poddębice (3)";68;
1011034;"Poddębice - miasto (4)";1217;
1011035;"Poddębice - obszar wiejski (5)";37;
1011043;"Uniejów (3)";53;
1011044;"Uniejów - miasto (4)";242;
1011045;"Uniejów - obszar wiejski (5)";34;
1011052;"Wartkowice (2)";44;
1011062;"Zadzim (2)";34;
1012000;"Powiat radomszczański";77;
1012011;"Radomsko (1)";869;
1012022;"Dobryszyce (2)";88;
1012032;"Gidle (2)";51;
1012042;"Gomunice (2)";93;
1012053;"Kamieńsk (3)";60;
1012054;"Kamieńsk - miasto (4)";223;
1012055;"Kamieńsk - obszar wiejski (5)";37;
1012062;"Kobiele Wielkie (2)";43;
1012072;"Kodrąb (2)";42;
1012082;"Lgota Wielka (2)";68;
1012092;"Ładzice (2)";57;
1012102;"Masłowice (2)";35;
1012113;"Przedbórz (3)";37;
1012114;"Przedbórz - miasto (4)";560;
1012115;"Przedbórz - obszar wiejski (5)";19;
1012122;"Radomsko (2)";65;
1012132;"Wielgomłyny (2)";36;
1012142;"Żytno (2)";25;
1013000;"Powiat rawski";74;
1013011;"Rawa Mazowiecka (1)";1187;
1013023;"Biała Rawska (3)";53;
1013024;"Biała Rawska - miasto (4)";323;
1013025;"Biała Rawska - obszar wiejski (5)";40;
1013032;"Cielądz (2)";43;
1013042;"Rawa Mazowiecka (2)";54;
1013052;"Regnów (2)";39;
1013062;"Sadkowice (2)";44;
1014000;"Powiat sieradzki";78;
1014011;"Sieradz (1)";798;
1014023;"Błaszki (3)";71;
1014024;"Błaszki - miasto (4)";1230;
1014025;"Błaszki - obszar wiejski (5)";61;
1014032;"Brąszewice (2)";42;
1014042;"Brzeźnio (2)";50;
1014052;"Burzenin (2)";45;
1014062;"Goszczanów (2)";44;
1014072;"Klonowa (2)";30;
1014082;"Sieradz (2)";60;
1014093;"Warta (3)";49;
1014094;"Warta - miasto (4)";289;
1014095;"Warta - obszar wiejski (5)";38;
1014102;"Wróblew (2)";53;
1014113;"Złoczew (3)";60;
1014114;"Złoczew - miasto (4)";239;
1014115;"Złoczew - obszar wiejski (5)";36;
1015000;"Powiat skierniewicki";50;
1015012;"Bolimów (2)";36;
1015022;"Głuchów (2)";51;
1015032;"Godzianów (2)";60;
1015042;"Kowiesy (2)";33;
1015052;"Lipce Reymontowskie (2)";76;
1015062;"Maków (2)";74;
1015072;"Nowy Kawęczyn (2)";32;
1015082;"Skierniewice (2)";58;
1015092;"Słupia (2)";63;
1016000;"Powiat tomaszowski";112;
1016011;"Tomaszów Mazowiecki (1)";1466;
1016022;"Będków (2)";56;
1016032;"Budziszewice (2)";71;
1016042;"Czerniewice (2)";39;
1016052;"Inowłódz (2)";39;
1016062;"Lubochnia (2)";54;
1016072;"Rokiciny (2)";68;
1016082;"Rzeczyca (2)";42;
1016092;"Tomaszów Mazowiecki (2)";75;
1016102;"Ujazd (2)";79;
1016112;"Żelechlinek (2)";35;
1017000;"Powiat wieluński";81;
1017012;"Biała (2)";73;
1017022;"Czarnożyły (2)";65;
1017032;"Konopnica (2)";45;
1017042;"Mokrsko (2)";68;
1017052;"Osjaków (2)";47;
1017062;"Ostrówek (2)";44;
1017072;"Pątnów (2)";56;
1017082;"Skomlin (2)";59;
1017093;"Wieluń (3)";236;
1017094;"Wieluń - miasto (4)";1282;
1017095;"Wieluń - obszar wiejski (5)";81;
1017102;"Wierzchlas (2)";55;
1018000;"Powiat wieruszowski";72;
1018012;"Bolesławiec (2)";63;
1018022;"Czastary (2)";63;
1018032;"Galewice (2)";45;
1018043;"Lututów (3)";60;
1018044;"Lututów - miasto (4)";120;
1018045;"Lututów - obszar wiejski (5)";40;
1018052;"Łubnice (2)";65;
1018062;"Sokolniki (2)";63;
1018073;"Wieruszów (3)";145;
1018074;"Wieruszów - miasto (4)";1408;
1018075;"Wieruszów - obszar wiejski (5)";63;
1019000;"Powiat zduńskowolski";178;
1019011;"Zduńska Wola (1)";1658;
1019023;"Szadek (3)";48;
1019024;"Szadek - miasto (4)";105;
1019025;"Szadek - obszar wiejski (5)";40;
1019032;"Zapolice (2)";65;
1019042;"Zduńska Wola (2)";110;
1020000;"Powiat zgierski";193;
1020011;"Głowno (1)";692;
1020021;"Ozorków (1)";1219;
1020031;"Zgierz (1)";1299;
1020043;"Aleksandrów Łódzki (3)";284;
1020044;"Aleksandrów Łódzki - miasto (4)";1577;
1020045;"Aleksandrów Łódzki - obszar wiejski (5)";110;
1020052;"Głowno (2)";46;
1020062;"Ozorków (2)";73;
1020072;"Parzęczew (2)";50;
1020083;"Stryków (3)";80;
1020084;"Stryków - miasto (4)";414;
1020085;"Stryków - obszar wiejski (5)";62;
1020092;"Zgierz (2)";75;
1021000;"Powiat brzeziński";85;
1021011;"Brzeziny (1)";571;
1021022;"Brzeziny (2)";55;
1021032;"Dmosin (2)";44;
1021042;"Jeżów (2)";52;
1021052;"Rogów (2)";70;
1061000;"Powiat m.Łódź";2265;
1061011;"Łódź (1)";2265;
1062000;"Powiat m.Piotrków Trybunalski";1060;
1062011;"Piotrków Trybunalski (1)";1060;
1063000;"Powiat m.Skierniewice";1359;
1063011;"Skierniewice (1)";1359;
1200000;"MAŁOPOLSKIE";224;
1201000;"Powiat bocheński";165;
1201011;"Bochnia (1)";981;
1201022;"Bochnia (2)";154;
1201032;"Drwinia (2)";60;
1201042;"Lipnica Murowana (2)";94;
1201052;"Łapanów (2)";115;
1201063;"Nowy Wiśnicz (3)";174;
1201064;"Nowy Wiśnicz - miasto (4)";553;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";149;
1201072;"Rzezawa (2)";133;
1201082;"Trzciana (2)";128;
1201092;"Żegocina (2)";161;
1202000;"Powiat brzeski";157;
1202012;"Borzęcin (2)";80;
1202023;"Brzesko (3)";352;
1202024;"Brzesko - miasto (4)";1398;
1202025;"Brzesko - obszar wiejski (5)";214;
1202033;"Czchów (3)";147;
1202034;"Czchów - miasto (4)";162;
1202035;"Czchów - obszar wiejski (5)";142;
1202042;"Dębno (2)";181;
1202052;"Gnojnik (2)";146;
1202062;"Iwkowa (2)";139;
1202072;"Szczurowa (2)";69;
1203000;"Powiat chrzanowski";331;
1203013;"Alwernia (3)";167;
1203014;"Alwernia - miasto (4)";373;
1203015;"Alwernia - obszar wiejski (5)";139;
1203022;"Babice (2)";167;
1203033;"Chrzanów (3)";576;
1203034;"Chrzanów - miasto (4)";930;
1203035;"Chrzanów - obszar wiejski (5)";247;
1203043;"Libiąż (3)";385;
1203044;"Libiąż - miasto (4)";466;
1203045;"Libiąż - obszar wiejski (5)";250;
1203053;"Trzebinia (3)";317;
1203054;"Trzebinia - miasto (4)";602;
1203055;"Trzebinia - obszar wiejski (5)";192;
1204000;"Powiat dąbrowski";111;
1204012;"Bolesław (2)";71;
1204023;"Dąbrowa Tarnowska (3)";182;
1204024;"Dąbrowa Tarnowska - miasto (4)";510;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";100;
1204032;"Gręboszów (2)";67;
1204042;"Mędrzechów (2)";77;
1204052;"Olesno (2)";102;
1204062;"Radgoszcz (2)";84;
1204073;"Szczucin (3)";109;
1204074;"Szczucin - miasto (4)";598;
1204075;"Szczucin - obszar wiejski (5)";79;
1205000;"Powiat gorlicki";112;
1205011;"Gorlice (1)";1128;
1205023;"Biecz (3)";169;
1205024;"Biecz - miasto (4)";252;
1205025;"Biecz - obszar wiejski (5)";150;
1205033;"Bobowa (3)";197;
1205034;"Bobowa - miasto (4)";432;
1205035;"Bobowa - obszar wiejski (5)";157;
1205042;"Gorlice (2)";168;
1205052;"Lipinki (2)";102;
1205062;"Łużna (2)";151;
1205072;"Moszczenica (2)";133;
1205082;"Ropa (2)";113;
1205092;"Sękowa (2)";25;
1205102;"Uście Gorlickie (2)";24;
1206000;"Powiat krakowski";231;
1206012;"Czernichów (2)";176;
1206022;"Igołomia-Wawrzeńczyce (2)";122;
1206032;"Iwanowice (2)";130;
1206042;"Jerzmanowice-Przeginia (2)";160;
1206052;"Kocmyrzów-Luborzyca (2)";201;
1206063;"Krzeszowice (3)";230;
1206064;"Krzeszowice - miasto (4)";584;
1206065;"Krzeszowice - obszar wiejski (5)";181;
1206072;"Liszki (2)";244;
1206082;"Michałowice (2)";218;
1206092;"Mogilany (2)";336;
1206103;"Skała (3)";142;
1206104;"Skała - miasto (4)";1277;
1206105;"Skała - obszar wiejski (5)";95;
1206113;"Skawina (3)";439;
1206114;"Skawina - miasto (4)";1185;
1206115;"Skawina - obszar wiejski (5)";246;
1206123;"Słomniki (3)";120;
1206124;"Słomniki - miasto (4)";1248;
1206125;"Słomniki - obszar wiejski (5)";84;
1206132;"Sułoszowa (2)";108;
1206143;"Świątniki Górne (3)";511;
1206144;"Świątniki Górne - miasto (4)";550;
1206145;"Świątniki Górne - obszar wiejski (5)";501;
1206152;"Wielka Wieś (2)";284;
1206162;"Zabierzów (2)";276;
1206172;"Zielonki (2)";501;
1207000;"Powiat limanowski";139;
1207011;"Limanowa (1)";803;
1207021;"Mszana Dolna (1)";291;
1207032;"Dobra (2)";91;
1207042;"Jodłownik (2)";121;
1207052;"Kamienica (2)";83;
1207062;"Laskowa (2)";113;
1207072;"Limanowa (2)";170;
1207082;"Łukowica (2)";147;
1207092;"Mszana Dolna (2)";103;
1207102;"Niedźwiedź (2)";99;
1207112;"Słopnice (2)";121;
1207122;"Tymbark (2)";202;
1208000;"Powiat miechowski";71;
1208012;"Charsznica (2)";93;
1208022;"Gołcza (2)";67;
1208032;"Kozłów (2)";53;
1208042;"Książ Wielki (2)";36;
1208053;"Miechów (3)";130;
1208054;"Miechów - miasto (4)";734;
1208055;"Miechów - obszar wiejski (5)";59;
1208062;"Racławice (2)";42;
1208072;"Słaboszów (2)";45;
1209000;"Powiat myślenicki";191;
1209013;"Dobczyce (3)";231;
1209014;"Dobczyce - miasto (4)";493;
